All Public Meetings,,,,,,,"Instructions: Drinks & Agendas; If a public meeting is discussing that city's housing element, add the meeting to our map/database at www.fairhousingelements.org/calendar-form",Week of 6/25,Week of 7/8,Week of 7/16,Week of 8/5,Week of 8/12,Week of 8/26,Week of 1/13,Week of 1/20,Week of 2/03,Week of 3/17,# of agendas checked this week!/Whether Housing Element has been adopted from Jan 31 - today,www.fairhousingelements.org/calendar-form
Sonoma,Healdsburg,,City Council,300,,1st Monday & 3rd Monday @ 6pm,https://healdsburgca.iqm2.com/Citizens/default.aspx,JF - Cancelled,,,,,,,,,,,
Sonoma,Sonoma,,City Council,314,,"1st Tues, 3rd Tues @ 6pm",https://sonomacity.civicweb.net/Portal/MeetingSchedule.aspx,JF - No,,,,,,,,,,,
Sonoma,Windsor,,Town Council,652,,1st & 3rd Weds @ 6pm,https://www.townofwindsor.com/721/Agendas-Minutes-Videos,JF - No,,,,,,,,,,,
Sonoma,Rohnert Park,,City Council,1594,,"2nd Tues, 4th Tues @ 6pm",https://www.rpcity.org/city_hall/city_council/meeting_central,,,,,,,,TBD,,,,
Sonoma,Petaluma,,City Council,1929,,"1st Mon, 3rd Mon @ 6pm",https://cityofpetaluma.org/meetings/,JF - No,,,,,,,,,,,
Sonoma,Santa Rosa,,City Council,4731,,Every Tues @ 1:30 or 4pm,https://santa-rosa.legistar.com/Calendar.aspx,,JF - No,JF - Yes,CH- No ,,,,No,,,,
Sonoma,Rohnert Park,,City Council,1594,,Varies,https://www.rpcity.org/cms/One.aspx?portalId=3037873&pageId=19410524,,JF - No,JF - No,CH- No ,,,,,,,,
Sonoma,Petaluma,,City Council,1929,,Varies,"The City Of Petaluma Public Meeting Agendas, Minutes And Videos",,JF - No,JF - No,CH- Ho,,,,,,,,
Sonoma,Sebastopol,,City Council,215,,Varies,https://www.cityofsebastopol.gov/your-government/city-meeting-calendar/,,JF - No,JF - No,CH- No ,,,,,,,,
Sonoma,Cloverdale,,City Council,281,,Varies,https://www.cloverdale.net/agendacenter,,JF - No,JF - No,CH- No ,,,,,,,,
Stanislaus,Turlock,,City Council,0,,"2nd, 4th Tues",https://ci.turlock.ca.us/government/turlockcitycouncil/councilmeetings.asp,,,,,,,,No,,,,
Stanislaus,Turlock,,planning commission,0,,1st Thurs,https://ci.turlock.ca.us/government/commissionscommittees/planningcommission/planningcommissionmeetings.asp,,,,,,,,,,,,
Ventura,Ojai,,Planning Commission,53,Adopted/Out,"1st Wednesday, Third Wednesday",https://ojai.ca.gov/planning-commission-agenda-and-reports/,,,,,,,,,,,,
Ventura,Ojai,,City Council,53,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://ojai.ca.gov/2021-council-agendas-and-reports/,,,,,,,,No,,,,
Ventura,Port Hueneme,,City Council,125,Adopted/Out,"1st Monday, Third Monday",http://porthuenemeca.suiteonemedia.com/web/Home.aspx,,,,,,,,,,,,
Ventura,Fillmore,,City Council,413,,"2nd Tuesday, 4th Tuesday",https://www.fillmoreca.gov/129/Agendas-Minutes-Video,,,,,,,,No,,,,
Ventura,Santa Paula,,City Council,656,,"1st Wednesday, 3rd Wednesday",http://santapaulaca.iqm2.com/Citizens/default.aspx,,,,,,,,,,,,
Ventura,Camarillo,,Planning Commission,1373,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.ci.camarillo.ca.us/departments/city_clerk/planning_commmission_2021.php,,,,,,,,,,,,
Ventura,Camarillo,,City Council,1373,Adopted/Out,2nd Wednesday. 4th Wednesday,https://www.ci.camarillo.ca.us/departments/city_clerk/cc_agendas_minutes_and_videos_2021.php,,,,,,,,,,,,
Ventura,Thousand Oaks,,Planning Commission,2615,,"2nd Monday, 4th Monday",https://www.toaks.org/departments/city-clerk/boards-commissions/planning-commission/planning-commission-agenda,,,,,,,,No,,,,
Ventura,Thousand Oaks,,City Council,2615,,"2nd Tuesday, 4th Tuesday",https://www.toaks.org/departments/city-clerk/agendas-minutes/city-council-agendas,,,,,,,,No,,,,
Ventura,Simi Valley,,Planning Commission,2786,Adopted/Out,"1st Wednesday, 2nd Wednesday, 3rd Wednesday, 4th Wednesday",https://www.simivalley.org/government/public-meetings/planning-commission-meetings,,JF - No,JF - No,,,,ap meeting is 22nd,,,,,
Ventura,Simi Valley,,City Council,2786,Adopted/Out,"1st Monday, 2nd Monday, 3rd Monday, 4th Monday, 5th Monday",https://www.simivalley.org/government/city-council/city-council-meetings,,JF - TBD,JF - No,CH- No ,,,ap no,No,,,,
Ventura,Oxnard,,Planning Commission,8528,Adopted/Out,"1st Thursday, 3rd Thursday",https://www.oxnard.org/city-meetings/,,,,,,,,,,,,
Ventura,Ventura,,City Council,#N/A,,"2nd Monday, 4th Monday",https://www.cityofventura.ca.gov/AgendaCenter,,,,,,,,No,,,,
Ventura,Camarillo,,Planning Commission,1373,Adopted/Out,"1st Tuesday, 3rd Tuesday","Welcome to Camarillo, CA",,,,,,,,,,,,
Ventura,Ojai,,City Council,53,Adopted/Out,"2nd Tuesday, 4th Tuesday",2022 Council Agendas and Reports | City of Ojai (ca.gov),,,,,,,,No,,,,
Ventura,Santa Paula,,Planning Commission,656,,4th Tuesday,"Meeting Calendar - Santa Paula, CA (iqm2.com)",,,,,,,,No,,,,
Yolo,Davis,A,City Council,2075,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.cityofdavis.org/city-hall/city-council/city-council-meetings/agendas,,,,,,,,,,,,
Yolo,West Sacramento,C,City Council,9471,,"1st Weds, 3rd Wednesday",https://www.cityofwestsacramento.org/government/meetings-agendas/city-council,,,,,,,,,,,,
Yuba,Marysville,,City Council,167,,"1st Tuesday, 3rd Tuesday",http://marysvilleca.granicus.com/ViewPublisherRSS.php?view_id=1&mode=agendas,,,,,,,,,,,,
Yuba,Wheatland,,City Council,499,,"2nd Thursday, 4th Thursday",https://www.wheatland.ca.gov/meetings,,,,,,,,,,No,JF,
Sonoma,Cotati,,City Council,236,,1st Monday & 3rd Monday @ 7pm,http://cotaticityca.iqm2.com/Citizens/calendar.aspx,,,,,,,Gabe Zitrin no,,,,,
Sonoma,Cotati,,Planning Commission,236,,"2nd Tuesday, 4th Tuesday @ 7pm",https://www.cotaticity.gov/1553/City-Council-and-Commission-Meeting-Info,,,,,,,,TBD,Cancelled,No,OL,
Sonoma,Cloverdale,,City Council,281,,2nd Wednesday & 4th Wednesday @ 6pm,https://www.cloverdale.net/AgendaCenter,,,,,,,,,No,No,OL,
Sonoma,Cloverdale,,Planning Commission,281,,1st Monday @ 6:30pm,https://www.cloverdale.net/AgendaCenter,,,,,,,,,,,,
Sonoma,Healdsburg,,City Council,300,,1st Monday & 3rd Monday @ 6pm,https://healdsburgca.iqm2.com/Citizens/default.aspx,,,,,,,Gabe Zitrin no,,,,,
Sonoma,Healdsburg,,Planning Commission,300,,"2nd Tuesday, 4th Tuesday @ 6pm",https://healdsburgca.iqm2.com/Citizens/default.aspx,,,,,,,,No,TBD,No,OL,
Sonoma,Sonoma,,City Council,314,,"1st Tues, 3rd Tues @ 6pm",https://sonomacity.civicweb.net/Portal/MeetingSchedule.aspx,,,,,,,Gabe Zitrin no,,,,,
Sonoma,Sonoma,,Planning Commission,314,,2nd Thu @ 6pm,https://sonomacity.civicweb.net/Portal/MeetingSchedule.aspx,,,,,,,,,No,,,
Sonoma,Windsor,,Town Council,652,,1st & 3rd Weds @ 6pm,https://www.townofwindsor.com/721/Agendas-Minutes-Videos,,,,,,,Gabe Zitrin no,,,,,
Sonoma,Windsor,,Planning Commission,652,,"2nd Tues, 4th Tues @ 5:30pm",https://www.townofwindsor.com/721/Agendas-Minutes-Videos,,,,,,,,Cancel,No,No,OL,
Sonoma,Rohnert Park,,City Council,1594,,"2nd Tues, 4th Tues @ 6pm",https://www.rpcity.org/city_hall/city_council/meeting_central,,,,,,,,No,TBD,Yes,OL,
Sonoma,Rohnert Park,,Planning Commission,1594,,"2nd Thurs, 4th Thurs @ 6pm",https://www.rpcity.org/city_hall/city_council/meeting_central,,,,,,,,,TBD,No,OL,
Sonoma,Petaluma,,City Council,1929,,"1st Mon, 3rd Mon @ 6pm",https://cityofpetaluma.org/meetings/,rm - no,,,,,,Gabe Zitrin no,,,,,
Sonoma,Petaluma,,Planning Commission,1929,,"2nd Tuesday, 4th Tuesday @ 7pm",https://cityofpetaluma.org/meetings/,,,,,,,,No,cancelled,No,OL,
Sonoma,Santa Rosa,,City Council,4731,,Every Tues @ 1:30 or 4pm,https://santa-rosa.legistar.com/Calendar.aspx,,JF - Cancelled,JF - No,CH- No ,,,,No,No,,,
Sonoma,Santa Rosa,,Planning Commission,4731,,"2nd Thurs, 4th Thurs @ 4pm",https://santa-rosa.legistar.com/Calendar.aspx,,,,,,,,,no,No,OL,
Stanislaus,Ceres,,,0,,,,,,,,,,,,,,,
Stanislaus,Hughson,,,0,,,,,,,,,,,,,,,
Stanislaus,Modesto,,,0,,,,,,,,,,,,,,,
Stanislaus,Newman,,,0,,,,,,,,,,,,,,,
Stanislaus,Oakdale,,,0,,,,,,,,,,,,,,,
Stanislaus,Patterson,,,0,,,,,,,,,,,,,,,
Stanislaus,Riverbank,,,0,,,,,,,,,,,,,,,
Stanislaus,Turlock,,city council,0,,"2nd, 4th Tues",https://ci.turlock.ca.us/government/turlockcitycouncil/councilmeetings.asp,,,,,,,,No,No,TBD,JF,
Stanislaus,Turlock,,planning commission,0,,1st Thurs,https://ci.turlock.ca.us/government/commissionscommittees/planningcommission/planningcommissionmeetings.asp,RM - no,,,,,,,,,,,
Stanislaus,Waterford,,,0,,,,,,,,,,,,,,,
Sutter,Live Oak,,,412,Adopted/Out,,,,,,,,,,,,,,
Sutter,Yuba City,,,3308,Adopted/Out,,,,,,,,,,,,,,
Tehama,Tehama,,,12,,,,,,,,,,,,,,,
Tehama,Corning,,,206,,,,,,,,,,,,,,,
Tehama,Red Bluff,,,368,,,,,,,,,,,,,,,
Tulare,Dinuba,,,0,,,,,,,,,,,,,,,
Tulare,Exeter,,,0,,,,,,,,,,,,,,,
Tulare,Farmersville,,,0,,,,,,,,,,,,,,,
Tulare,Lindsay,,,0,,,,,,,,,,,,,,,
Tulare,Porterville,,,0,,,,,,,,,,,,,,,
Tulare,Tulare,,,0,,,,,,,,,,,,,,,
Tulare,Visalia,,,0,,,,,,,,,,,,,,,
Tulare,Woodlake,,,0,,,,,,,,,,,,,,,
Tuolumne,Sonora,,,115,,,,,,,,,,,,,,,
Ventura,Ojai,,Planning Commission,53,Adopted/Out,"1st Wednesday, Third Wednesday",https://www.ojai.ca.gov/526/Agendas-Minutes,JF -  TBD,,,,,,,,,,,
Ventura,Ojai,,City Council,53,Adopted/Out,"2nd Tuesday, 4th Tuesday",https://www.ojai.ca.gov/526/Agendas-Minutes,,,,,,,,No,No,TBD,JF,
Ventura,Port Hueneme,,City Council,125,Adopted/Out,"1st Monday, Third Monday",http://porthuenemeca.suiteonemedia.com/web/Home.aspx,JF- No,,,,,,,,,,,
Ventura,Fillmore,,City Council,413,,"2nd Tuesday, 4th Tuesday",https://www.fillmoreca.gov/129/Agendas-Minutes-Video,,,,,,,,No,No,Yes,JF,
Ventura,Fillmore,,Planning Commission,413,,3rd Wednesday,https://www.fillmoreca.com/i-want-to/i-want-to-view-an-agenda,,,,,,,,,,,,
Ventura,Santa Paula,,City Council,656,,"1st Wednesday, 3rd Wednesday",https://www.spcity.org/523/Public-Meeting-Agendas,RM - YES,,,,,,,,,,,
Ventura,Santa Paula,,Planning Commission,656,,4th Tuesday,https://santa-paula.granicus.com/ViewPublisher.php?view_id=5,,,,,,,,No,,No,JF,
Ventura,Camarillo,,Planning Commission,1373,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.ci.camarillo.ca.us/departments/city_clerk/planning_commmission_2021.php,RM - No,,,,,,,,,,,
Ventura,Camarillo,,City Council,1373,Adopted/Out,2nd Wednesday. 4th Wednesday,http://ci.camarillo.ca.us/departments/city_clerk/meeting_agendas___public_hearing_notices/index.php,,,,,,,,,No,Cancelled,JF,
Ventura,Thousand Oaks,,Planning Commission,2615,,"2nd Monday, 4th Monday",https://www.toaks.org/departments/city-clerk/boards-commissions/planning-commission/planning-commission-agenda,,,,,,,,No,No,No,JF,
Ventura,Thousand Oaks,,City Council,2615,,"2nd Tuesday, 4th Tuesday",https://www.toaks.org/departments/city-clerk/agendas-minutes/city-council-agendas,,,,,,,,No,No,No,JF,
Ventura,Oxnard,,Planning Commission,8528,Adopted/Out,"1st Thursday, 3rd Thursday",https://www.oxnard.org/city-meetings/,RM - No,,,,,,,,,,,
Ventura,Oxnard,,City Council,8528,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.oxnard.org/city-meetings/,RM - No,,,,,,,,,,,
Ventura,Ventura,,City Council,#N/A,,"2nd Monday, 4th Monday",https://www.cityofventura.ca.gov/AgendaCenter,,,,,,,,No,No,No,JF,
Ventura,Ventura,,Planning Commission,#N/A,,"2nd Wednesday, 4th Wednesday",https://www.cityofventura.ca.gov/AgendaCenter,,,,,,,,,No,No,JF,
Yolo,Winters,C,,552,Adopted/Out,,,,,,,,,,,,,,
Yolo,Davis,A,City Council,2075,Adopted/Out,"1st Tuesday, 3rd Tuesday",https://www.cityofdavis.org/city-hall/city-council/city-council-meetings/agendas,RM - No,,,,,,,,,,,
Yolo,Woodland,C,,3087,Adopted/Out,,,,,,,,,,,,,,
Yolo,West Sacramento,C,City Council,9471,,"1st Weds, 3rd Wednesday ",https://www.cityofwestsacramento.org/government/meetings-agendas/city-council,RM - Cancelled,,,,,,,,,,,
Yuba,Marysville,,City Council,167,,"1st Tuesday, 3rd Tuesday",http://marysvilleca.granicus.com/ViewPublisherRSS.php?view_id=1&mode=agendas,RM - No,,,,,,,,,,,
Yuba,Marysville,,Planning Commission,167,,4th Wednesday of Even Months,http://marysvilleca.granicus.com/ViewPublisherRSS.php?view_id=1&mode=agendas,,,,,,,,,,No,JF,
Yuba,Wheatland,,City Council,499,,"2nd Thursday, 4th Thursday",https://www.wheatland.ca.gov/meetings,,,,,,,,,No,Yes,JF,
Yuba,Wheatland,,Planning Commission,499,,"Variable, but not often",http://www.wheatland.ca.gov/agendas/,,,,CH- No,,,,,,,,
